name,prompt,negative_prompt,detailed_prompt,very_detailed_prompt
misc-fairy tale,"fairy tale {prompt} . magical, fantastical, enchanting, storybook style, highly detailed","realistic, modern, ordinary, mundane","A fairy tale style illustration of an {prompt}, magical, fantastical, enchanting, storybook style, highly detailed, evoking classic fairy tales.","Imagine a fairy tale style illustration of an {prompt}, where the whimsical and enchanting elements of classic fairy tales are beautifully rendered. The {prompt} is transformed into something magical, surrounded by a storybook world filled with wonder and fantasy. It might be set in an enchanted forest, a royal palace, or a mystical land, each detail contributing to the fairy tale atmosphere. The colors are vibrant and rich, evoking a sense of magic and adventure. This style is about capturing the essence of fairy tales, where every element is imbued with a sense of enchantment and wonder. The {prompt} becomes a key part of this fantastical narrative, a magical item or a pivotal element in a fairy tale journey, inviting viewers to step into a world where anything is possible and every story is a journey to the extraordinary."
misc-gothic,"gothic style {prompt} . dark, mysterious, haunting, dramatic, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, cheerful, optimistic","A gothic style depiction of an {prompt}, dark, mysterious, haunting, dramatic, ornate, detailed, reminiscent of gothic art.","Picture a gothic style representation of an {prompt}, where the dark, mysterious essence of the Gothic era is intricately woven into its design. The {prompt} is imbued with a sense of brooding elegance, featuring architectural elements like pointed arches, ribbed vaults, or ornate carvings. The colors are deep and somber, often with dramatic contrasts, reflecting the moodiness and intensity associated with gothic art. The setting could include gothic motifs like gargoyles, stained glass, or medieval iconography, further enhancing the {prompt}'s haunting beauty. This style is about capturing the romantic, melancholic spirit of the Gothic movement, where the {prompt} becomes a symbol of both the beauty and the solemnity of this age. It’s a visual journey into a world of historic grandeur and artistic depth, where the {prompt} stands as a testament to the enduring allure of Gothic art and architecture."
misc-grunge,"grunge style {prompt} . textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy","smooth, clean, minimalist, sleek, modern, photorealistic","A grunge style image of an {prompt}, textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy, capturing the grunge aesthetic.","Envision a grunge style depiction of an {prompt}, where the raw, edgy aesthetics of the grunge movement are vividly captured. The {prompt} is styled with a sense of rebellion and nonconformity, featuring textures and elements that are rough, distressed, and unpolished. The colors are often muted and earthy, with an emphasis on the worn and the tactile. It might be set against a backdrop that echoes the urban, underground roots of grunge culture, such as a graffiti-covered wall or a dimly lit street. This style is not just about the visual aspects; it’s about embodying the spirit of grunge - a blend of punk attitude, indie ethos, and a rejection of the mainstream. The {prompt} becomes an icon of this subculture, a symbol of the raw, unfiltered expression that defines the grunge aesthetic, inviting viewers to connect with a world that's gritty, authentic, and unapologetically real."
misc-horror,"horror-themed {prompt} . eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed","cheerful, bright, vibrant, light-hearted, cute","A horror-themed artwork of an {prompt}, eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed, evoking horror genre elements.","Visualize a horror-themed artwork of an {prompt}, where the eerie and unsettling atmosphere of horror is masterfully created. The {prompt} is depicted in a way that evokes fear and suspense, possibly incorporating elements like shadows, eerie lighting, or a haunting background. The colors are stark and chilling, contributing to a sense of dread and foreboding. The design might include motifs associated with horror, such as gothic elements, supernatural features, or disturbing imagery, all serving to unsettle and intrigue the viewer. This style is about more than just scaring; it’s about creating a mood, a tension that captivates and unnerves. The {prompt} becomes a part of this spine-tingling narrative, a central piece in a story that's both terrifying and compelling, drawing viewers into a world where fear and fascination intertwine."
misc-kawaii,"kawaii style {prompt} . cute, adorable, brightly colored, cheerful, anime influence, highly detailed","dark, scary, realistic, monochrome, abstract","A kawaii style representation of an {prompt}, cute, adorable, brightly colored, cheerful, anime influence, highly detailed, embodying the essence of kawaii culture.","Picture a kawaii style representation of an {prompt}, where the adorable and cute aspects of the kawaii culture are lovingly rendered. The {prompt} is transformed into a charming, cheerful version of itself, adorned with bright colors, soft shapes, and cute embellishments like bows, hearts, or smiling faces. The colors are pastel and inviting, creating a warm and friendly vibe. The style emphasizes the playful and innocent, turning the {prompt} into something that evokes joy and delight. This approach is not just about aesthetics; it's about tapping into the heartwarming, joyful essence of kawaii culture. The {prompt} becomes a symbol of happiness and cuteness, inviting viewers into a world that's sweet, whimsical, and irresistibly adorable."
misc-lovecraftian,"lovecraftian horror {prompt} . eldritch, cosmic horror, unknown, mysterious, surreal, highly detailed","light-hearted, mundane, familiar, simplistic, realistic","A Lovecraftian horror depiction of an {prompt}, eldritch, cosmic horror, unknown, mysterious, surreal, highly detailed, inspired by H.P. Lovecraft's universe.","Imagine a Lovecraftian horror depiction of an {prompt}, where the eerie and cosmic dread of H.P. Lovecraft's universe is masterfully invoked. The {prompt} is portrayed in a way that suggests otherworldly horror and incomprehensible mystery. Dark, ominous colors and unsettling forms shroud the {prompt}, hinting at its connection to the unknown and the forbidden. It might be set against a backdrop of ancient ruins, eldritch symbols, or unfathomable cosmic landscapes, all contributing to a sense of cosmic dread. This style is about more than evoking fear; it's about tapping into the deep, existential terror of the unknown. The {prompt} becomes a portal to Lovecraft's world, a symbol of the unfathomable and the incomprehensible, inviting viewers to gaze into the abyss of cosmic horror and confront the limits of human understanding."
misc-macabre,"macabre style {prompt} . dark, gothic, grim, haunting, highly detailed","bright, cheerful, light-hearted, cartoonish, cute","A macabre style artwork of an {prompt}, dark, gothic, grim, haunting, highly detailed, evoking a sense of the macabre.","Visualize a macabre style artwork of an {prompt}, where the dark and morbid aspects of the macabre are vividly captured. The {prompt} is imbued with a sense of gothic horror and solemn beauty, perhaps incorporating elements like skulls, bones, or other symbols of death. The colors are deep and somber, evoking a sense of melancholy and introspection. The setting might include gothic motifs or eerie landscapes, enhancing the {prompt}'s haunting allure. This style is about exploring the darker side of beauty, where the {prompt} becomes a reflection on mortality and the ephemeral nature of life. It’s a journey into the shadowy realms of art, where the macabre and the beautiful intersect, inviting viewers to find a somber elegance in the depiction of the {prompt}."
misc-manga,"manga style {prompt} . vibrant, high-energy, detailed, iconic, Japanese comic style","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, Western comic style","A manga style illustration of an {prompt}, vibrant, high-energy, detailed, iconic, in the Japanese comic style.","Picture a manga style illustration of an {prompt}, where the high-energy and expressive visuals of Japanese manga are brought to life. The {prompt} is depicted with dynamic lines, dramatic shading, and a distinctively bold style that captures the essence of manga art. It could be set in a scene filled with action, emotion, or dramatic tension, typical of manga storytelling. The colors, if used, are vibrant and impactful, while black and white renditions focus on the interplay of light and shadow. This style is about more than replicating manga aesthetics; it's about infusing the {prompt} with the narrative and visual flair of manga, making it a part of a larger, compelling story. The {prompt} is transformed into a key element of a manga panel, capturing the imagination and inviting viewers into the captivating world of manga storytelling."
misc-metropolis,"metropolis-themed {prompt} . urban, cityscape, skyscrapers, modern, futuristic, highly detailed","rural, natural, rustic, historical, simple","A metropolis-themed image of an {prompt}, urban, cityscape, skyscrapers, modern, futuristic, highly detailed, capturing the essence of a bustling metropolis.","Envision a metropolis-themed image of an {prompt}, where the hustle and bustle of city life are captured in a vibrant and modern depiction. The {prompt} is set against a backdrop of towering skyscrapers, busy streets, and the dynamic energy of urban living. It could be illuminated by the glow of city lights or framed by iconic architectural elements. The colors are a mix of neon signs, concrete grays, and the diverse palette of a bustling city. This style is about capturing the essence of urban life, where the {prompt} becomes a part of the city's narrative. It’s a visual exploration of the urban landscape, where the {prompt} is not just an inanimate item but a piece of the metropolis story, evoking the feelings of excitement, complexity, and the ever-changing nature of city life."
misc-minimalist,"minimalist style {prompt} . simple, clean, uncluttered, modern, elegant","ornate, complicated, highly detailed, cluttered, disordered, messy, noisy","A minimalist style depiction of an {prompt}, simple, clean, uncluttered, modern, elegant, focusing on the essence of the {prompt}.","Envision a minimalist style representation of an {prompt}, where simplicity and clarity are the essence of its design. The {prompt} is depicted with clean, uncluttered lines, emphasizing form and function over embellishment. The colors are subdued and monochromatic, creating a calm and serene visual experience. The composition is purposefully sparse, leaving plenty of negative space that invites the viewer to focus on the elegance of the {prompt} itself. This style celebrates the 'less is more' philosophy, where every element is carefully considered and meaningful. The {prompt}, in its minimalist portrayal, becomes a symbol of modernity and sophistication, a testament to the beauty of simplicity in design. It's a visual meditation on the essence of the {prompt}, stripped of any unnecessary details, showcasing the purity and elegance of minimalism."
misc-monochrome,"monochrome {prompt} . black and white, contrast, tone, texture, detailed","colorful, vibrant, noisy, blurry, deformed","A monochrome representation of an {prompt}, in black and white, focusing on contrast, tone, texture, detailed, showcasing the power of monochrome.","Picture a monochrome representation of an {prompt}, where the power of black and white is used to create a striking and timeless image. The {prompt} is rendered in shades of gray, with a focus on contrast, tone, and texture. The absence of color brings attention to the form and detail of the {prompt}, highlighting its structure and material. The monochromatic palette evokes a sense of classic elegance and simplicity, allowing the viewer to appreciate the subtleties of light and shadow. This style is about exploring the nuances of grayscale, where the {prompt} is presented in a sophisticated and refined manner. It's a study in contrast and subtlety, where the {prompt} becomes a focal point of artistic expression, capturing the viewer's attention through the sheer power of monochrome."
misc-nautical,"nautical-themed {prompt} . sea, ocean, ships, maritime, beach, marine life, highly detailed","landlocked, desert, mountains, urban, rustic","A nautical-themed artwork of an {prompt}, featuring sea, ocean, ships, maritime elements, beach, marine life, highly detailed, capturing the nautical spirit.","Visualize a nautical-themed artwork of an {prompt}, where the beauty and mystery of the sea are intricately woven into its design. The {prompt} might be depicted with maritime motifs such as anchors, ropes, or compasses, set against a backdrop of ocean waves, sandy beaches, or a bustling harbor. The colors are reflective of the marine environment - blues, greens, and sandy tones, creating a cohesive sea-inspired palette. This style captures the essence of maritime life, where the {prompt} becomes a part of the ocean's narrative. It’s a celebration of the nautical world, where the {prompt} is not just an item but a piece of the larger story of the sea - its adventures, its lore, and its timeless allure."
misc-space,"space-themed {prompt} . cosmic, celestial, stars, galaxies, nebulas, planets, science fiction, highly detailed","earthly, mundane, ground-based, realism","A space-themed illustration of an {prompt}, cosmic, celestial, stars, galaxies, nebulas, planets, science fiction, highly detailed, capturing the vastness of space.","Imagine a space-themed illustration of an {prompt}, where the vast and mysterious expanse of the cosmos is the backdrop. The {prompt} could be portrayed amidst swirling galaxies, bright nebulas, or against the starkness of deep space. The colors are a mix of celestial blues, purples, and star-like whites, creating a sense of otherworldly beauty. The design might include elements of science fiction, such as futuristic technology or alien landscapes. This style is about capturing the awe and wonder of space exploration, where the {prompt} becomes a part of a larger cosmic journey. It’s a visual odyssey into the universe, where the {prompt} is not just a piece of art but a symbol of human curiosity and our quest to explore the unknown."
misc-stained glass,"stained glass style {prompt} . vibrant, beautiful, translucent, intricate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic","A stained glass style artwork of an {prompt}, vibrant, beautiful, translucent, intricate, detailed, reminiscent of traditional stained glass art.","Envision a stained glass style artwork of an {prompt}, where the intricate beauty and vibrant colors of stained glass windows are masterfully depicted. The {prompt} is transformed through a mosaic of colored glass pieces, each contributing to a detailed and harmonious composition. Light plays a crucial role, giving life to the colors and creating a luminous, ethereal effect. The design may include traditional stained glass motifs such as floral patterns, geometric shapes, or religious symbols, depending on the context. This style is about more than artistic representation; it’s a celebration of the historic and artistic significance of stained glass, where the {prompt} becomes a part of a grander narrative. Its depiction in stained glass style elevates it to a work of art, imbued with the elegance and spirituality that this medium has represented for centuries."
misc-techwear fashion,"techwear fashion {prompt} . futuristic, cyberpunk, urban, tactical, sleek, dark, highly detailed","vintage, rural, colorful, low contrast, realism, sketch, watercolor","A techwear fashion depiction of an {prompt}, futuristic, cyberpunk, urban, tactical, sleek, dark, highly detailed, embodying the essence of modern, functional fashion.","Picture a techwear fashion style depiction of an {prompt}, where the cutting-edge, functional aesthetics of techwear are creatively applied. The {prompt} is designed with a focus on utility and futuristic style, featuring sleek lines, innovative materials, and a monochromatic color scheme. It could be set in an urban, dystopian environment, highlighting the practical yet stylish nature of techwear. The design emphasizes versatility and adaptability, incorporating elements like modular attachments, weather-resistant fabrics, or ergonomic features. This style is about combining form and function, where the {prompt} is not just fashionable but a testament to the possibilities of modern garment technology. It’s a fusion of urban utility and avant-garde design, making the {prompt} a symbol of a future where fashion and function coexist in harmony."
misc-tribal,"tribal style {prompt} . indigenous, ethnic, traditional patterns, bold, natural colors, highly detailed","modern, futuristic, minimalist, pastel","A tribal style artwork of an {prompt}, indigenous, ethnic, featuring traditional patterns, bold, natural colors, highly detailed, capturing the essence of tribal art.","Visualize a tribal style artwork of an {prompt}, where the rich and diverse aesthetics of indigenous art are beautifully integrated. The {prompt} is adorned with traditional patterns, bold colors, and symbolic motifs that reflect a particular tribal culture. The design is both a celebration of heritage and an artistic expression, showcasing intricate beadwork, weaving, or carving, depending on the cultural context. This style is about more than visual appeal; it’s a connection to the roots and traditions of indigenous peoples. The {prompt} becomes a canvas for storytelling and cultural expression, inviting viewers to appreciate and respect the depth and history behind tribal art. It’s a blend of ancestral craftsmanship and contemporary artistic interpretation, where the {prompt} serves as a bridge between past and present, honoring the timeless beauty of tribal cultures."
misc-zentangle,"zentangle {prompt} . intricate, abstract, monochrome, patterns, meditative, highly detailed","colorful, representative, simplistic, large fields of color","A zentangle style drawing of an {prompt}, intricate, abstract, monochrome, patterns, meditative, highly detailed, showcasing the unique art form of zentangle.","Imagine a zentangle style drawing of an {prompt}, where the relaxing and meditative art of zentangle transforms its appearance. The {prompt} is intricately patterned with repetitive, abstract shapes and lines, creating a mesmerizing and complex design. The monochromatic scheme highlights the variety of textures and patterns, making the drawing both a visual and a tactile experience. This style is about focusing on the process of creation, where each stroke contributes to a greater, cohesive whole. The {prompt}, through zentangle art, becomes a symbol of mindfulness and creativity, showcasing how simple lines and shapes can converge to form a stunning and intricate piece of art. It’s a journey into the world of pattern-making and abstraction, where the {prompt} is not just depicted but reimagined through the unique and engaging lens of zentangle artistry."
papercraft-collage,"collage style {prompt} . mixed media, layered, textural, detailed, artistic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic","A collage style representation of an {prompt}, mixed media, layered, textural, detailed, artistic, showcasing the diversity and creativity of collage art.","Envision a collage style representation of an {prompt}, where mixed media and layered techniques create a unique and textural portrayal. The {prompt} is composed of various materials like paper cutouts, fabric, photographs, or even digital elements, each adding depth and dimension. The colors and textures are diverse and vibrant, creating a visually stimulating piece that invites closer inspection. This style is about exploring creativity and expression through the assembly of disparate elements. The {prompt} becomes a focal point in a tapestry of materials and motifs, telling a story that is as much about the process of creation as it is about the final image. It’s a celebration of the eclectic and the imaginative, where the {prompt} is reimagined through the lens of artistic freedom and innovation."
papercraft-flat papercut,"flat papercut style {prompt} . silhouette, clean cuts, paper, sharp edges, minimalist, color block","3D, high detail, noise, grainy, blurry, painting, drawing, photo, disfigured","A flat papercut style artwork of an {prompt}, silhouette, clean cuts, paper, sharp edges, minimalist, color block, focusing on the elegance of papercut art.","Picture a flat papercut style artwork of an {prompt}, where the art of paper cutting is used to create a delicate and intricate design. The {prompt} is rendered in silhouette form, with sharp, clean cuts that reveal its shape and essence. The composition is minimalist yet striking, focusing on the negative space and the interplay of light and shadow. The colors are often monochromatic, emphasizing the elegance and precision of the papercut technique. This style is about the beauty of simplicity and the skill of the artist's hand. The {prompt}, though presented in a simplified form, becomes a work of art that showcases the potential of paper as a medium. It’s an exploration of form and detail, where the {prompt} is transformed into a piece of visual poetry, capturing the viewer's imagination with its understated complexity."
papercraft-kirigami,"kirigami representation of {prompt} . 3D, paper folding, paper cutting, Japanese, intricate, symmetrical, precision, clean lines","painting, drawing, 2D, noisy, blurry, deformed","A kirigami representation of an {prompt}, 3D, paper folding and cutting, Japanese style, intricate, symmetrical, precision, clean lines, showcasing the delicate art of kirigami.","Visualize a kirigami representation of an {prompt}, where the traditional Japanese art of paper cutting and folding brings the {prompt} to life in three dimensions. The design is intricate, with precise cuts and folds that transform a flat sheet of paper into a detailed, sculptural form. The {prompt} might be a building, a natural form, or an abstract shape, each rendered with attention to detail and spatial awareness. The colors are usually minimal, allowing the focus to be on the craftsmanship and the interplay of light and shadow. This style is about the transformative power of paper, where a simple material is elevated into a complex and elegant artwork. The {prompt} becomes a testament to the precision and creativity of kirigami, inviting viewers to appreciate the delicate balance between art and technique."
papercraft-paper mache,"paper mache representation of {prompt} . 3D, sculptural, textured, handmade, vibrant, fun","2D, flat, photo, sketch, digital art, deformed, noisy, blurry","A paper mache representation of an {prompt}, 3D, sculptural, textured, handmade, vibrant, fun, capturing the playful and artistic nature of paper mache.","Imagine a paper mache representation of an {prompt}, where the playful and versatile nature of paper mache is used to create a colorful and textured piece. The {prompt} is sculpted with layers of paper and adhesive, forming a three-dimensional shape that is both lightweight and sturdy. The surface can be painted and decorated with a variety of techniques, making each creation unique. This style is about embracing the whimsical and the handmade, where the {prompt} is transformed through a process that is as fun as it is artistic. The result is a charming and characterful rendition of the {prompt}, showcasing the endless possibilities of paper mache. It’s a celebration of creativity and resourcefulness, where the {prompt} is not just a representation but a piece of art that reflects the joy of making."
papercraft-paper quilling,"paper quilling art of {prompt} . intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental","photo, painting, drawing, 2D, flat, deformed, noisy, blurry","A paper quilling art of an {prompt}, intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental, showcasing the intricate art of paper quilling.","Envision a paper quilling art piece of an {prompt}, where the delicate and intricate craft of paper quilling transforms the {prompt} into a three-dimensional, textural wonder. Thin strips of colored paper are expertly coiled, shaped, and arranged to create detailed patterns and images that bring the {prompt} to life. The colors are vibrant and varied, each strip contributing to a harmonious and visually captivating whole. This style emphasizes the meticulous and precise nature of paper quilling, showcasing the {prompt} in a form that is both delicate and complex. The artwork is not just a representation; it's a testament to the skill and patience required in paper quilling, turning the {prompt} into a piece of art that is as exquisite as it is intricate."
papercraft-papercut collage,"papercut collage of {prompt} . mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant","photo, 3D, realistic, drawing, painting, high detail, disfigured","A papercut collage of an {prompt}, mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant, showcasing the creativity and artistry of papercut collage.","Picture a papercut collage of an {prompt}, where the layered and textural qualities of papercutting are combined with the creative possibilities of collage. The {prompt} is depicted through a series of carefully cut and arranged paper pieces, each contributing to the overall image. The layers of paper create depth and dimension, while the varying textures and colors add visual interest. This style is about exploring the interplay between positive and negative space, where the {prompt} emerges from a complex background of paper elements. The result is a unique and striking representation of the {prompt}, showcasing the versatility and artistic potential of papercut collage. It's a celebration of precision and creativity, where the {prompt} is reimagined in a medium that offers endless possibilities for expression."
papercraft-papercut shadow box,"3D papercut shadow box of {prompt} . layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast","painting, drawing, photo, 2D, flat, high detail, blurry, noisy, disfigured","A 3D papercut shadow box of an {prompt}, layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast, showcasing the intricate and artistic nature of papercut shadow boxes.","Visualize a 3D papercut shadow box of an {prompt}, where the art of paper cutting is taken to a new dimension. Layers of intricately cut paper are stacked and spaced within a box, creating a sense of depth and perspective. The {prompt} is rendered in a series of silhouetted layers, each adding detail and contributing to a cohesive scene. Lighting plays a crucial role, casting shadows and highlighting the different layers, enhancing the three-dimensional effect. This style combines the precision of papercutting with the drama of shadow art, transforming the {prompt} into a captivating visual narrative. The shadow box becomes a miniature stage, where the {prompt} is the star of its own intricate, layered story."
papercraft-stacked papercut,"stacked papercut art of {prompt} . 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast","2D, flat, noisy, blurry, painting, drawing, photo, deformed","A stacked papercut art of an {prompt}, 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast, focusing on the depth and intricacy of stacked papercut art.","Imagine a stacked papercut art piece of an {prompt}, where multiple layers of cut paper are meticulously arranged to create a stunning three-dimensional effect. Each layer adds depth and detail to the {prompt}, with the paper's edges creating a subtle play of light and shadow. The colors are chosen to complement each other, enhancing the visual impact of the stacked layers. This style is about exploring the potential of paper as an artistic medium, where precision cutting and careful assembly result in a piece that is both visually striking and texturally rich. The {prompt}, presented in this layered format, becomes a focal point of intricate beauty, showcasing the elegance and complexity achievable through this unique photographic approach."
papercraft-thick layered papercut,"thick layered papercut art of {prompt} . deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers","2D, flat, thin paper, low stack, smooth texture, painting, drawing, photo, deformed","A thick layered papercut art of an {prompt}, deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers, showcasing the depth and texture of thick layered papercut art.","Envision a thick layered papercut art piece of an {prompt}, where the art of papercutting is enhanced through the addition of multiple, tangible layers. Each layer of cut paper adds a new dimension to the {prompt}, building up its form and features in a detailed, volumetric manner. The depth created by the stacking of these layers gives the artwork a sculptural quality, with shadows and highlights playing across the surfaces to enhance the sense of three-dimensionality. This style goes beyond traditional papercutting, transforming the {prompt} into a complex, tactile piece that invites viewers to explore its intricate layers and depths. The use of varying paper thicknesses and textures adds to the visual interest, making the {prompt} not just a representation but a piece of art that beckons to be experienced up close."
photo-alien,"alien-themed {prompt} . extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed","earthly, mundane, common, realistic, simple","An alien-themed image of an {prompt}, extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed, capturing the essence of alien and sci-fi themes.","Picture an alien-themed image of an {prompt}, where the mysterious and otherworldly aspects of extraterrestrial life are creatively brought into focus. The {prompt} is reimagined with alien characteristics or set within a strange, cosmic environment that suggests a connection to the unknown reaches of space. The colors and textures are unusual and ethereal, evoking a sense of the alien and the unexplored. This style is about blending the familiar with the alien, creating a visual narrative that is both intriguing and unsettling. The {prompt}, through this alien-themed portrayal, becomes a bridge between our world and the vast, mysterious universe beyond, inviting viewers to ponder the endless possibilities of what might exist in the far reaches of space and the unknown."
photo-film noir,"film noir style {prompt} . monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vibrant, colorful","A film noir style image of an {prompt}, monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic, embodying the classic film noir aesthetic.","Visualize a film noir style image of an {prompt}, where the dramatic and moody aesthetics of classic film noir cinema are captured. The {prompt} is depicted in a high-contrast, monochromatic style, with deep shadows and sharp highlights creating a sense of mystery and intrigue. The setting might include typical film noir elements like rain-slicked streets, shadowy alleyways, or the stark interiors of a detective's office. This style is not just about recreating the look of film noir; it’s about evoking the genre's atmosphere of suspense and moral ambiguity. The {prompt}, portrayed in this cinematic style, becomes part of a larger narrative, a piece of a puzzle in a story filled with twists and turns. It’s a journey into a world of dark beauty, where the {prompt} is more than just an item – it's a character in its own right."
photo-hdr,"HDR photo of {prompt} . High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed","flat, low contrast, oversaturated, underexposed, overexposed, blurred, noisy","An HDR photo of an {prompt}, high dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed, showcasing the capabilities of HDR photography.","Envision an HDR (High Dynamic Range) photo of an {prompt}, where the technique's ability to capture a wide range of light and shadow details is utilized to create a striking image. The {prompt} is photographed with multiple exposures, each highlighting different aspects of its form and texture. The resulting image is rich and vibrant, with enhanced clarity and depth. Colors are vivid and lifelike, and the contrasts between light and dark areas are more pronounced, giving the photo a dramatic and impactful look. This style is about showcasing the {prompt} in its most detailed and visually arresting form, making the most of HDR photography's ability to bring out the subtleties and nuances that might be lost in a standard photo. The {prompt} is not just captured; it's celebrated in a display of photographic excellence."
photo-long exposure,"long exposure photo of {prompt} . Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed","static, noisy, deformed, shaky, abrupt, flat, low contrast","A long exposure photo of an {prompt}, blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed, capturing the artistic effects of long exposure photography.","Imagine a long exposure photo of an {prompt}, where the artistic technique of long exposure photography is used to create a unique, ethereal image. The {prompt} is captured with a blurred motion effect, creating a sense of movement and fluidity. The surrounding environment, whether it's moving lights, water, or clouds, is rendered in a dreamy, surreal manner, contrasting with the more stable presence of the {prompt}. This style emphasizes the passage of time and the beauty of motion, using long exposure to transform the ordinary into the extraordinary. The {prompt}, amidst these flowing elements, becomes a focal point of stability in a world of dynamic change, inviting the viewer to appreciate the beauty of extended moments captured in a single frame."
photo-neon noir,"neon noir {prompt} . cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed","bright, sunny, daytime, low contrast, black and white, sketch, watercolor","A neon noir image of an {prompt}, cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed, capturing the essence of neon noir.","Picture a neon noir image of an {prompt}, where the moody and vibrant aesthetics of neon noir are brought to life. The {prompt} is set against a backdrop of dark, rainy streets, illuminated by the glow of neon signs and ambient city lights. The colors are a mix of deep shadows and bright neon hues, creating a high-contrast, visually striking scene. This style captures the essence of neon noir - a blend of film noir darkness with neon-lit modernity. The {prompt}, portrayed in this cinematic style, becomes part of a narrative that is both mysterious and compelling, drawing the viewer into a world where light and shadow play a crucial role in setting the mood and tone. It’s a journey into a visually rich and atmospheric world, where the {prompt} is not just a subject of the photo but a part of its noir story."
photo-silhouette,"silhouette style {prompt} . high contrast, minimalistic, black and white, stark, dramatic","ugly, deformed, noisy, blurry, low contrast, color, realism, photorealistic","A silhouette style image of an {prompt}, high contrast, minimalistic, black and white, stark, dramatic, capturing the {prompt}'s essence in silhouette form.","Visualize a silhouette style image of an {prompt}, where the striking simplicity of silhouette art is used to create a powerful and dramatic image. The {prompt} is depicted in stark black against a brightly lit background, creating a bold contrast that emphasizes its shape and outline. The simplicity of the silhouette allows for a focus on the form and essence of the {prompt}, stripping away details to reveal its most fundamental aspects. This style is about the interplay of light and shadow, and the beauty that can be found in pure shape and form. The {prompt}, presented as a silhouette, becomes a symbol of elegance and mystery, inviting viewers to fill in the details with their imagination, appreciating the {prompt}'s beauty in its most basic and striking form."
photo-tilt-shift,"tilt-shift photo of {prompt} . Selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control","blurry, noisy, deformed, flat, low contrast, unrealistic, oversaturated, underexposed","A tilt-shift photo of an {prompt}, selective focus, miniature effect, blurred background, highly detailed, vibrant, showcasing the unique perspective control of tilt-shift photography.","Envision a tilt-shift photo of an {prompt}, where the creative technique of tilt-shift photography is used to create a miniature effect. The {prompt} is photographed with selective focus, making parts of the image sharp while blurring others. This technique creates an illusion that the {prompt} is much smaller than it actually is, almost like a miniature model. The colors and details are crisp and vibrant in the focused areas, drawing the viewer’s attention to the {prompt}, while the blurred surroundings give a sense of depth and context. This style is about playing with perception and scale, using tilt-shift to transform the everyday into the whimsical. The {prompt}, through this unique photographic approach, becomes a part of a miniaturized world, inviting viewers to see the familiar in a new and charming light."
